task_id,pickup,delivery,service_time,earliest_start,latest_finish,priority
T01,P5,SORT2,2,0,31,3
T02,P5,SORT1,2,1,27,2
T03,P7,SORT1,2,4,37,1
T04,P3,SORT2,2,6,33,3
T05,P1,SORT2,2,6,44,2
T06,P9,SORT2,2,8,37,2
T07,P6,OUT2,3,10,38,3
T08,P3,SORT2,2,10,49,2
T09,P2,OUT2,3,11,48,2
T10,P9,SORT1,2,14,41,3
T11,P2,SORT1,2,15,41,2
T12,P2,SORT2,2,17,46,3
T13,P1,SORT2,2,20,50,1
T14,P8,OUT1,2,22,55,1
T15,P6,OUT1,2,22,59,2
T16,P3,SORT2,3,25,52,1
T17,P2,SORT1,2,25,55,3
T18,P9,SORT1,3,28,56,3
T19,P2,SORT1,2,30,66,1
T20,P7,SORT1,2,32,67,3
T21,P6,SORT2,2,34,63,1
T22,P7,SORT2,2,35,72,2
T23,P6,SORT1,3,37,65,2
T24,P4,SORT2,3,38,73,2
