task_id,pickup,delivery,service_time,earliest_start,latest_finish,priority
T01,P2,OUT2,3,0,38,1
T02,P3,SORT2,3,2,37,3
T03,P8,OUT1,2,3,40,2
T04,P4,OUT2,3,5,34,2
T05,P7,SORT2,3,7,43,1
T06,P3,SORT1,3,10,48,2
T07,P7,OUT2,3,12,47,1
T08,P6,SORT2,2,14,45,3
T09,P5,SORT2,2,16,46,3
T10,P6,SORT1,3,19,45,1
T11,P5,SORT2,2,19,49,1
T12,P3,SORT2,2,21,48,1
T13,P9,SORT1,2,22,60,2
T14,P4,SORT2,3,23,48,1
T15,P2,SORT1,3,26,65,3
T16,P9,SORT2,2,26,59,3
T17,P4,SORT2,3,28,66,2
T18,P8,SORT2,3,28,60,1
T19,P5,SORT2,3,29,57,3
T20,P1,SORT1,2,32,66,1
T21,P6,SORT1,2,35,73,3
T22,P9,SORT1,2,35,69,2
T23,P6,SORT1,2,38,74,1
T24,P4,SORT1,2,40,72,3
